0
//====================================================
// Devil Square Info
//====================================================
// WarningTime   NotifyTime   EventTime   CloseTime
//====================================================
   5             0            3           1
end


1
//======================================================
// Schedule
//======================================================
// Year   Month   Day   DoW   Hour   Minute   Second
//======================================================
   *      *       *     *     0      30       0
   *      *       *     *     2      30       0
   *      *       *     *     4      30       0
   *      *       *     *     6      30       0
   *      *       *     *     8      30       0
   *      *       *     *     10     30       0
   *      *       *     *     12     30       0
   *      *       *     *     14     30       0
   *      *       *     *     16     30       0
   *      *       *     *     18     30       0
   *      *       *     *     20     30       0
   *      *       *     *     22     30       0
end


2
//=================================================================================================================================================================================================================
// Experience Reward
//=================================================================================================================================================================================================================
// Level   RewardExperience1   RewardExperience2   RewardExperience3   RewardExperience4   RewardExperience5   RewardExperience6   RewardExperience7   RewardExperience8   RewardExperience9   RewardExperience10
//=================================================================================================================================================================================================================
   0       6000                4000                4000                2000                2000                2000                1000                1000                1000                1000
   1       8000                6000                6000                4000                4000                4000                2000                2000                2000                2000
   2       10000               8000                8000                6000                6000                6000                4000                4000                4000                4000
   3       20000               10000               10000               8000                8000                8000                6000                6000                6000                6000
   4       22000               20000               20000               10000               10000               10000               8000                8000                8000                8000
   5       24000               22000               22000               20000               20000               20000               10000               10000               10000               10000
   6       26000               24000               24000               22000               22000               22000               20000               20000               20000               20000
end


3
//===============================================================================================================================================================
// Zen Reward
//===============================================================================================================================================================
// Level   RewardMoney1   RewardMoney2   RewardMoney3   RewardMoney4   RewardMoney5   RewardMoney6   RewardMoney7   RewardMoney8   RewardMoney9   RewardMoney10
//===============================================================================================================================================================
0         30000          25000          25000          20000          20000          20000          15000          15000          15000          15000
1         40000          35000          35000          30000          30000          30000          25000          25000          25000          25000
2         50000          45000          45000          40000          40000          40000          35000          35000          35000          35000
3         60000          55000          55000          50000          50000          50000          45000          45000          45000          45000
4         70000          65000          65000          60000          60000          60000          55000          55000          55000          55000
5         80000          75000          75000          70000          70000          70000          65000          65000          65000          65000
6         150000         140000         140000         120000         120000         120000         90000          90000          90000          90000
end


4
//================================
// Coin Reward
//================================
// Level   WC      WP      GP
//================================
   0       0       0       0
   1       0       0       0
   2       0       0       0
   3       0       0       0
   4       0       0       0
   5       0       0       0
   6       0       0       0
end


5
//=================================================================================
// Entry Requirements
//=================================================================================
// DS enter level/reset/mreset(Change the type in the GameServerInfo - Event.dat)
//=================================================================================
// - Normal  = DW,DK,ELF,SU
// - Special = MG,DL,RF
//=================================================================================
// Level   NormalMin   NormalMax   SpecialMin   SpecialMax
//=================================================================================
   0       15          130         10           110
   1       131         180         111          160
   2       181         230         161          210
   3       231         280         211          260
   4       281         330         261          310
   5       331         400         311          400
end


6
//===========================
// Monster
//===========================
// Level  Stage  Monster
//===========================
   0      0      15
   0      0      17
   1      0      36
   1      0      39
   2      0      45
   2      0      46
   3      0      64
   3      0      65
   4      0      60
   4      0      62
   5      0      69
   5      0      71
   6      0      434
   6      0      435
   0      1      5
   0      1      9
   1      1      34
   1      1      41
   2      1      37
   2      1      51
   3      1      290
   3      1      294
   4      1      57
   4      1      58
   5      1      73
   5      1      74
   6      1      436
   6      1      437
   0      2      10
   0      2      16
   1      2      35
   1      2      40
   2      2      48
   2      2      52
   3      2      61
   3      2      70
   4      2      292
   4      2      293
   5      2      72
   5      2      75
   6      2      438
   6      2      439
   0      3      18
   1      3      38
   2      3      49
   3      3      63
   4      3      291
   5      3      77
   6      3      440
end
