//==================================================================================================================================================
// ItemIndex   EffectIndex   EffectValue   EffectLevel   ColorR   ColorG   ColorB   ColorSize   ColorMain   ColorSide   Comment
//==================================================================================================================================================
   6416        32002         00            0             0.25     0.25     0.90     2.0         0.0         0.0         // Wing of Phoenix
   6416        32002         01            0             0.25     0.25     0.90     2.0         0.0         0.0         // Wing of Phoenix
   6416        32002         02            0             0.25     0.25     0.90     2.0         0.0         0.0         // Wing of Phoenix
   6416        32002         02            0             0.25     0.25     0.90     2.0         0.0         0.0         // Wing of Phoenix
   6416        32002         04            0             0.25     0.25     0.90     2.0         0.0         0.0         // Wing of Phoenix
   6416        32002         05            0             0.25     0.25     0.90     2.0         0.0         0.0         // Wing of Phoenix
   6416        32002         06            0             0.25     0.25     0.90     2.0         0.0         0.0         // Wing of Phoenix
   6416        32002         07            0             0.25     0.25     0.90     2.0         0.0         0.0         // Wing of Phoenix
   6416        32002         12            0             0.25     0.25     0.90     2.0         0.0         0.0         // Wing of Phoenix
   6416        32002         13            0             0.25     0.25     0.90     2.0         0.0         0.0         // Wing of Phoenix
   6416        32002         14            0             0.25     0.25     0.90     2.0         0.0         0.0         // Wing of Phoenix
   6416        32002         15            0             0.25     0.25     0.90     2.0         0.0         0.0         // Wing of Phoenix
   6416        32002         16            0             0.25     0.25     0.90     2.0         0.0         0.0         // Wing of Phoenix
   6416        32002         17            0             0.25     0.25     0.90     2.0         0.0         0.0         // Wing of Phoenix
   6416        32002         18            0             0.25     0.25     0.90     2.0         0.0         0.0         // Wing of Phoenix
   6416        32002         19            0             0.25     0.25     0.90     2.0         0.0         0.0         // Wing of Phoenix
end
